"","tax_id","nom_binomial"
"1","ABUEXS","Abutilon exstipulare"
"2","ALBLEB","Albizia lebbeck"
"3","COPBOR","Coptosperma borbonicum"
"4","CROMAU","Croton mauritianus"
"5","DIOBOR","Diospyros borbonica"
"6","FERBUX","Fernelia buxifolia"
"7","FURFOE","Furcraea foetida"
"8","HEDGAR","Hedychium gardnerianum"
"9","HIPBEN","Hiptage benghalensis"
"10","LANCAM","Lantana camara"
"11","LEULEU","Leucaena leucocephala"
"12","LITGLU","Litsea glutinosa"
"13","OLAPSI","Olax psittacorum"
"14","POLCUT","Polyscias cutispongia"
"15","POUBOR","Poupartia borbonica"
"16","PSICAT","Psidium cattleyanum"
"17","SEALON","Searsia longipes"
"18","TERBEN","Terminalia bentzoe"
"19","VOLHET","Volkameria heterophylla"
"20","ZANHET","Zanthoxylum heterophyllum"
