"";"mod2";"modalite";"sp1";"sp2";"pot";"sp";"ind";"etat";"origine";"nbleaves1";"le length";"le width";"st diam";"st length";"obs";"date";"mort";"area";"masse";"masse_tot.x";"vol";"masse_tot.y";"vol_tot";"diffmass";"diffvol";"X";"nom_binomial";"basisOfRecord";"individualCount";"kingdom";"recordedBy";"eventDate";"country";"countryCode";"island";"licence"
"1";"INTER2 ABUEXS FURFOE 1 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";1;"ABUEXS";2;1;NA;2;1,9;1,2;1;3,1;"MR, TV";2024-10-04;NA;2,28;-0,00243411368526408;-0,00486822737052817;3,1;1,84;9,9;1,84486822737053;6,8;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"2";"INTER2 ABUEXS FURFOE 1 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";1;"FURFOE";1;1;NA;3;23,6;3,4;NA;NA;"MR, TV";2024-10-04;NA;80,24;0,615542975006322;1,84662892501896;NA;13,5135;NA;11,666871074981;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"3";"INTER2 ABUEXS FURFOE 2 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";2;"ABUEXS";2;1;NA;3;2,5;1,4;1;4,1;"MR, TV";2024-10-04;NA;3,5;-0,000422179104001115;-0,00126653731200334;4,1;0,1015;7,5;0,102766537312003;3,4;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"4";"INTER2 ABUEXS FURFOE 2 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";2;"FURFOE";1;1;NA;3;24,4;3;NA;NA;"MR, TV";2024-10-04;NA;73,2;0,552688448167699;1,6580653445031;NA;13,698;NA;12,0399346554969;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"5";"INTER2 ABUEXS FURFOE 3 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";3;"ABUEXS";2;1;NA;3;2,4;1,2;1;2,8;"MR, TV";2024-10-04;NA;2,88;-0,00144463766169213;-0,0043339129850764;2,8;1,696;17,35;1,70033391298508;14,55;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"6";"INTER2 ABUEXS FURFOE 3 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";3;"FURFOE";1;1;NA;3;21,5;3,2;NA;NA;"MR, TV";2024-10-04;NA;68,8;0,51340436889356;1,54021310668068;NA;16,672;NA;15,1317868933193;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"7";"INTER2 ABUEXS FURFOE 4 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";4;"ABUEXS";2;1;NA;3;2,5;1,2;1;3;"MR, TV";2024-10-04;NA;3;-0,00124674245697774;-0,00374022737093323;3;3,7035;26,4;3,70724022737093;23,4;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"8";"INTER2 ABUEXS FURFOE 4 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";4;"FURFOE";1;1;NA;3;21,1;2,9;NA;NA;"MR, TV";2024-10-04;NA;61,19;0,445460768148969;1,33638230444691;NA;19,748;NA;18,4116176955531;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"9";"INTER2 ABUEXS FURFOE 5 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";5;"ABUEXS";2;1;NA;3;2,2;1,3;0,5;3,9;"MR, TV";2024-10-04;NA;2,86;-0,0014776201958112;-0,00443286058743359;1,95;2,652;23,316;2,65643286058743;21,366;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"10";"INTER2 ABUEXS FURFOE 5 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";5;"FURFOE";1;1;NA;3;24,6;3,3;NA;NA;"MR, TV";2024-10-04;NA;81,18;0,623935482851252;1,87180644855376;NA;14,02;NA;12,1481935514462;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
